,precision,recall,f1-score,support
1,0.3055555555555556,0.4230769230769231,0.3548387096774194,26.0
2,0.2692307692307692,0.25,0.25925925925925924,28.0
3,0.375,0.4444444444444444,0.4067796610169492,27.0
4,0.34615384615384615,0.32142857142857145,0.3333333333333333,28.0
5,0.4482758620689655,0.5,0.4727272727272727,26.0
6,0.36363636363636365,0.16,0.2222222222222222,25.0
accuracy,0.35,0.35,0.35,0.35
macro avg,0.35130873277424995,0.34982498982498983,0.34152674303940933,160.0
weighted avg,0.3502893448744742,0.35,0.3415494658632986,160.0
