,precision,recall,f1-score,support
1,0.8333333333333334,0.7692307692307693,0.8,26.0
2,0.7272727272727273,0.5714285714285714,0.64,28.0
3,0.6857142857142857,0.8888888888888888,0.7741935483870968,27.0
4,0.8846153846153846,0.8214285714285714,0.8518518518518519,28.0
5,0.7142857142857143,0.7692307692307693,0.7407407407407407,26.0
6,0.72,0.72,0.72,25.0
accuracy,0.75625,0.75625,0.75625,0.75625
macro avg,0.7608702408702409,0.7567012617012616,0.7544643568299482,160.0
weighted avg,0.7617828005328005,0.75625,0.7545896057347671,160.0
